Iniciando proceso de limpieza para regiones_comunas.csv
Línea 2: Corregido (Iquique → iquique), (Tarapacá → tarapaca)
Línea 3: Corregido (Alto Hospicio → alto hospicio), (Tarapacá → tarapaca)
Línea 4: Corregido (Pozo Almonte → pozo almonte), (Tarapacá → tarapaca)
Línea 5: Corregido (Camiña → camina), (Tarapacá → tarapaca)
Línea 6: Corregido (Colchane → colchane), (Tarapacá → tarapaca)
Línea 7: Corregido (Huara → huara), (Tarapacá → tarapaca)
Línea 8: Corregido (Pica → pica), (Tarapacá → tarapaca)
Línea 9: Corregido (Antofagasta → antofagasta), (Antofagasta → antofagasta)
Línea 10: Corregido (Mejillones → mejillones), (Antofagasta → antofagasta)
Línea 11: Corregido (Sierra Gorda → sierra gorda), (Antofagasta → antofagasta)
Línea 12: Corregido (Taltal → taltal), (Antofagasta → antofagasta)
Línea 13: Corregido (Calama → calama), (Antofagasta → antofagasta)
Línea 14: Corregido (Ollague → ollague), (Antofagasta → antofagasta)
Línea 15: Corregido (San Pedro de Atacama → san pedro de atacama), (Antofagasta → antofagasta)
Línea 16: Corregido (Tocopilla → tocopilla), (Antofagasta → antofagasta)
Línea 17: Corregido (María Elena → maria elena), (Antofagasta → antofagasta)
Línea 18: Corregido (Copiapó → copiapo), (Atacama → atacama)
Línea 19: Corregido (Caldera → caldera), (Atacama → atacama)
Línea 20: Corregido (Tierra Amarilla → tierra amarilla), (Atacama → atacama)
Línea 21: Corregido (Chañaral → chanaral), (Atacama → atacama)
Línea 22: Corregido (Diego de Almagro → diego de almagro), (Atacama → atacama)
Línea 23: Corregido (Vallenar → vallenar), (Atacama → atacama)
Línea 24: Corregido (Alto del Carmen → alto del carmen), (Atacama → atacama)
Línea 25: Corregido (Freirina → freirina), (Atacama → atacama)
Línea 26: Corregido (Huasco → huasco), (Atacama → atacama)
Línea 27: Corregido (La Serena → la serena), (Coquimbo → coquimbo)
Línea 28: Corregido (Coquimbo → coquimbo), (Coquimbo → coquimbo)
Línea 29: Corregido (Andacollo → andacollo), (Coquimbo → coquimbo)
Línea 30: Corregido (La Higuera → la higuera), (Coquimbo → coquimbo)
Línea 31: Corregido (Paihuano → paihuano), (Coquimbo → coquimbo)
Línea 32: Corregido (Vicuña → vicuna), (Coquimbo → coquimbo)
Línea 33: Corregido (Illapel → illapel), (Coquimbo → coquimbo)
Línea 34: Corregido (Canela → canela), (Coquimbo → coquimbo)
Línea 35: Corregido (Los Vilos → los vilos), (Coquimbo → coquimbo)
Línea 36: Corregido (Salamanca → salamanca), (Coquimbo → coquimbo)
Línea 37: Corregido (Ovalle → ovalle), (Coquimbo → coquimbo)
Línea 38: Corregido (Combarbalá → combarbala), (Coquimbo → coquimbo)
Línea 39: Corregido (Monte Patria → monte patria), (Coquimbo → coquimbo)
Línea 40: Corregido (Punitaqui → punitaqui), (Coquimbo → coquimbo)
Línea 41: Corregido (Río Hurtado → rio hurtado), (Coquimbo → coquimbo)
Línea 42: Corregido (Valparaíso → valparaiso), (Valparaíso → valparaiso)
Línea 43: Corregido (Casablanca → casablanca), (Valparaíso → valparaiso)
Línea 44: Corregido (Concón → concon), (Valparaíso → valparaiso)
Línea 45: Corregido (Juan Fernández → juan fernandez), (Valparaíso → valparaiso)
Línea 46: Corregido (Puchuncaví → puchuncavi), (Valparaíso → valparaiso)
Línea 47: Corregido (Quintero → quintero), (Valparaíso → valparaiso)
Línea 48: Corregido (Viña del Mar → vina del mar), (Valparaíso → valparaiso)
Línea 49: Corregido (Isla de Pascua → isla de pascua), (Valparaíso → valparaiso)
Línea 50: Corregido (Los Andes → los andes), (Valparaíso → valparaiso)
Línea 51: Corregido (Calle Larga → calle larga), (Valparaíso → valparaiso)
Línea 52: Corregido (Rinconada → rinconada), (Valparaíso → valparaiso)
Línea 53: Corregido (San Esteban → san esteban), (Valparaíso → valparaiso)
Línea 54: Corregido (La Ligua → la ligua), (Valparaíso → valparaiso)
Línea 55: Corregido (Cabildo → cabildo), (Valparaíso → valparaiso)
Línea 56: Corregido (Papudo → papudo), (Valparaíso → valparaiso)
Línea 57: Corregido (Petorca → petorca), (Valparaíso → valparaiso)
Línea 58: Corregido (Zapallar → zapallar), (Valparaíso → valparaiso)
Línea 59: Corregido (Quillota → quillota), (Valparaíso → valparaiso)
Línea 60: Corregido (Calera → calera), (Valparaíso → valparaiso)
Línea 61: Corregido (Hijuelas → hijuelas), (Valparaíso → valparaiso)
Línea 62: Corregido (La Cruz → la cruz), (Valparaíso → valparaiso)
Línea 63: Corregido (Nogales → nogales), (Valparaíso → valparaiso)
Línea 64: Corregido (San Antonio → san antonio), (Valparaíso → valparaiso)
Línea 65: Corregido (Algarrobo → algarrobo), (Valparaíso → valparaiso)
Línea 66: Corregido (Cartagena → cartagena), (Valparaíso → valparaiso)
Línea 67: Corregido (El Quisco → el quisco), (Valparaíso → valparaiso)
Línea 68: Corregido (El Tabo → el tabo), (Valparaíso → valparaiso)
Línea 69: Corregido (Santo Domingo → santo domingo), (Valparaíso → valparaiso)
Línea 70: Corregido (San Felipe → san felipe), (Valparaíso → valparaiso)
Línea 71: Corregido (Catemu → catemu), (Valparaíso → valparaiso)
Línea 72: Corregido (Llay Llay → llay llay), (Valparaíso → valparaiso)
Línea 73: Corregido (Panquehue → panquehue), (Valparaíso → valparaiso)
Línea 74: Corregido (Putaendo → putaendo), (Valparaíso → valparaiso)
Línea 75: Corregido (Santa María → santa maria), (Valparaíso → valparaiso)
Línea 76: Corregido (Quilpué → quilpue), (Valparaíso → valparaiso)
Línea 77: Corregido (Limache → limache), (Valparaíso → valparaiso)
Línea 78: Corregido (Olmué → olmue), (Valparaíso → valparaiso)
Línea 79: Corregido (Villa Alemana → villa alemana), (Valparaíso → valparaiso)
Línea 80: Corregido (Rancagua → rancagua), (O'Higgins → o'higgins)
Línea 81: Corregido (Codegua → codegua), (O'Higgins → o'higgins)
Línea 82: Corregido (Coinco → coinco), (O'Higgins → o'higgins)
Línea 83: Corregido (Coltauco → coltauco), (O'Higgins → o'higgins)
Línea 84: Corregido (Doñihue → donihue), (O'Higgins → o'higgins)
Línea 85: Corregido (Graneros → graneros), (O'Higgins → o'higgins)
Línea 86: Corregido (Las Cabras → las cabras), (O'Higgins → o'higgins)
Línea 87: Corregido (Machalí → machali), (O'Higgins → o'higgins)
Línea 88: Corregido (Malloa → malloa), (O'Higgins → o'higgins)
Línea 89: Corregido (Mostazal → mostazal), (O'Higgins → o'higgins)
Línea 90: Corregido (Olivar → olivar), (O'Higgins → o'higgins)
Línea 91: Corregido (Peumo → peumo), (O'Higgins → o'higgins)
Línea 92: Corregido (Pichidegua → pichidegua), (O'Higgins → o'higgins)
Línea 93: Corregido (Quinta de Tilcoco → quinta de tilcoco), (O'Higgins → o'higgins)
Línea 94: Corregido (Rengo → rengo), (O'Higgins → o'higgins)
Línea 95: Corregido (Requinoa → requinoa), (O'Higgins → o'higgins)
Línea 96: Corregido (San Vicente → san vicente), (O'Higgins → o'higgins)
Línea 97: Corregido (Pichilemu → pichilemu), (O'Higgins → o'higgins)
Línea 98: Corregido (La Estrella → la estrella), (O'Higgins → o'higgins)
Línea 99: Corregido (Litueche → litueche), (O'Higgins → o'higgins)
Línea 100: Corregido (Marchihue → marchihue), (O'Higgins → o'higgins)
Línea 101: Corregido (Navidad → navidad), (O'Higgins → o'higgins)
Línea 102: Corregido (Paredones → paredones), (O'Higgins → o'higgins)
Línea 103: Corregido (San Fernando → san fernando), (O'Higgins → o'higgins)
Línea 104: Corregido (Chépica → chepica), (O'Higgins → o'higgins)
Línea 105: Corregido (Chimbarongo → chimbarongo), (O'Higgins → o'higgins)
Línea 106: Corregido (Lolol → lolol), (O'Higgins → o'higgins)
Línea 107: Corregido (Nancagua → nancagua), (O'Higgins → o'higgins)
Línea 108: Corregido (Palmilla → palmilla), (O'Higgins → o'higgins)
Línea 109: Corregido (Peralillo → peralillo), (O'Higgins → o'higgins)
Línea 110: Corregido (Placilla → placilla), (O'Higgins → o'higgins)
Línea 111: Corregido (Pumanque → pumanque), (O'Higgins → o'higgins)
Línea 112: Corregido (Santa Cruz → santa cruz), (O'Higgins → o'higgins)
Línea 113: Corregido (Talca → talca), (Maule → maule)
Línea 114: Corregido (Constitución → constitucion), (Maule → maule)
Línea 115: Corregido (Curepto → curepto), (Maule → maule)
Línea 116: Corregido (Empedrado → empedrado), (Maule → maule)
Línea 117: Corregido (Maule → maule), (Maule → maule)
Línea 118: Corregido (Pelarco → pelarco), (Maule → maule)
Línea 119: Corregido (Pencahue → pencahue), (Maule → maule)
Línea 120: Corregido (Río Claro → rio claro), (Maule → maule)
Línea 121: Corregido (San Clemente → san clemente), (Maule → maule)
Línea 122: Corregido (San Rafael → san rafael), (Maule → maule)
Línea 123: Corregido (Cauquenes → cauquenes), (Maule → maule)
Línea 124: Corregido (Chanco → chanco), (Maule → maule)
Línea 125: Corregido (Pelluhue → pelluhue), (Maule → maule)
Línea 126: Corregido (Curicó → curico), (Maule → maule)
Línea 127: Corregido (Hualañe → hualane), (Maule → maule)
Línea 128: Corregido (Licantén → licanten), (Maule → maule)
Línea 129: Corregido (Molina → molina), (Maule → maule)
Línea 130: Corregido (Rauco → rauco), (Maule → maule)
Línea 131: Corregido (Romeral → romeral), (Maule → maule)
Línea 132: Corregido (Sagrada Familia → sagrada familia), (Maule → maule)
Línea 133: Corregido (Teno → teno), (Maule → maule)
Línea 134: Corregido (Vichuquén → vichuquen), (Maule → maule)
Línea 135: Corregido (Linares → linares), (Maule → maule)
Línea 136: Corregido (Colbún → colbun), (Maule → maule)
Línea 137: Corregido (Longaví → longavi), (Maule → maule)
Línea 138: Corregido (Parral → parral), (Maule → maule)
Línea 139: Corregido (Retiro → retiro), (Maule → maule)
Línea 140: Corregido (San Javier → san javier), (Maule → maule)
Línea 141: Corregido (Villa Alegre → villa alegre), (Maule → maule)
Línea 142: Corregido (Yerbas Buenas → yerbas buenas), (Maule → maule)
Línea 143: Corregido (Concepción → concepcion), (Biobío → biobio)
Línea 144: Corregido (Coronel → coronel), (Biobío → biobio)
Línea 145: Corregido (Chiguayante → chiguayante), (Biobío → biobio)
Línea 146: Corregido (Florida → florida), (Biobío → biobio)
Línea 147: Corregido (Hualqui → hualqui), (Biobío → biobio)
Línea 148: Corregido (Lota → lota), (Biobío → biobio)
Línea 149: Corregido (Penco → penco), (Biobío → biobio)
Línea 150: Corregido (San Pedro De La Paz → san pedro de la paz), (Biobío → biobio)
Línea 151: Corregido (Santa Juana → santa juana), (Biobío → biobio)
Línea 152: Corregido (Talcahuano → talcahuano), (Biobío → biobio)
Línea 153: Corregido (Tomé → tome), (Biobío → biobio)
Línea 154: Corregido (Hualpén → hualpen), (Biobío → biobio)
Línea 155: Corregido (Lebu → lebu), (Biobío → biobio)
Línea 156: Corregido (Arauco → arauco), (Biobío → biobio)
Línea 157: Corregido (Cañete → canete), (Biobío → biobio)
Línea 158: Corregido (Contulmo → contulmo), (Biobío → biobio)
Línea 159: Corregido (Curanilahue → curanilahue), (Biobío → biobio)
Línea 160: Corregido (Los Alamos → los alamos), (Biobío → biobio)
Línea 161: Corregido (Tirua → tirua), (Biobío → biobio)
Línea 162: Corregido (Los Angeles → los angeles), (Biobío → biobio)
Línea 163: Corregido (Antuco → antuco), (Biobío → biobio)
Línea 164: Corregido (Cabrero → cabrero), (Biobío → biobio)
Línea 165: Corregido (Laja → laja), (Biobío → biobio)
Línea 166: Corregido (Mulchén → mulchen), (Biobío → biobio)
Línea 167: Corregido (Nacimiento → nacimiento), (Biobío → biobio)
Línea 168: Corregido (Negrete → negrete), (Biobío → biobio)
Línea 169: Corregido (Quilaco → quilaco), (Biobío → biobio)
Línea 170: Corregido (Quilleco → quilleco), (Biobío → biobio)
Línea 171: Corregido (San Rosendo → san rosendo), (Biobío → biobio)
Línea 172: Corregido (Santa Bárbara → santa barbara), (Biobío → biobio)
Línea 173: Corregido (Tucapel → tucapel), (Biobío → biobio)
Línea 174: Corregido (Yumbel → yumbel), (Biobío → biobio)
Línea 175: Corregido (Alto Biobío → alto biobio), (Biobío → biobio)
Línea 176: Corregido (Chillán → chillan), (Biobío → biobio)
Línea 177: Corregido (Bulnes → bulnes), (Biobío → biobio)
Línea 178: Corregido (Cobquecura → cobquecura), (Biobío → biobio)
Línea 179: Corregido (Coelemu → coelemu), (Biobío → biobio)
Línea 180: Corregido (Coihueco → coihueco), (Biobío → biobio)
Línea 181: Corregido (Chillán Viejo → chillan viejo), (Biobío → biobio)
Línea 182: Corregido (El Carmen → el carmen), (Biobío → biobio)
Línea 183: Corregido (Ninhue → ninhue), (Biobío → biobio)
Línea 184: Corregido (Ñiquén → niquen), (Biobío → biobio)
Línea 185: Corregido (Pemuco → pemuco), (Biobío → biobio)
Línea 186: Corregido (Pinto → pinto), (Biobío → biobio)
Línea 187: Corregido (Portezuelo → portezuelo), (Biobío → biobio)
Línea 188: Corregido (Quillón → quillon), (Biobío → biobio)
Línea 189: Corregido (Quirihue → quirihue), (Biobío → biobio)
Línea 190: Corregido (Ranquil → ranquil), (Biobío → biobio)
Línea 191: Corregido (San Carlos → san carlos), (Biobío → biobio)
Línea 192: Corregido (San Fabián → san fabian), (Biobío → biobio)
