sucursal_nombre;direccion_sucursal;comuna_nombre;lugar_nombre;tipo_lugar;capacidad_personas;precio;descuento_socio_evento;tipo_precio;dia_semana;hora_inicio;hora_termino;fecha_inicio_vigencia;fecha_fin_vigencia
"santiago centro";"av alameda 900";santiago;mesa3_restaurant1;restaurant;4;9000;;mesa_hora;miercoles;10:00;23:00;2025-01-30;2025-03-01
"santiago centro";"av alameda 900";santiago;linea1_piscina1;piscina;1;30000;;linea_hora;jueves;20:00;21:00;2025-11-19;2025-11-26
"santiago centro";"av alameda 900";santiago;linea2_piscina1;piscina;1;230000;21;linea_hora;martes;20:00;21:00;2024-11-01;2024-12-19
"santiago centro";"av alameda 900";santiago;linea3_piscina1;piscina;1;20000;71;linea_hora;martes;10:00;11:00;2025-11-02;2025-11-09
"santiago centro";"av alameda 900";santiago;linea4_piscina1;piscina;1;20000;80;linea_hora;miercoles;12:00;13:00;2025-01-05;2025-04-05
"santiago centro";"av alameda 900";santiago;linea5_piscina1;piscina;1;190000;79;linea_hora;viernes;12:00;13:00;2025-09-29;2025-10-13
"santiago centro";"av alameda 900";santiago;linea6_piscina1;piscina;1;10000;52;linea_hora;domingo;11:00;12:00;2024-08-16;2024-11-14
"santiago centro";"av alameda 900";santiago;linea7_piscina1;piscina;1;200000;;linea_hora;jueves;18:00;19:00;2024-10-04;2024-10-11
"santiago centro";"av alameda 900";santiago;linea8_piscina1;piscina;1;40000;;linea_hora;martes;20:00;21:00;2025-08-15;2025-08-22
"santiago centro";"av alameda 900";santiago;linea1_piscina2;piscina;1;10000;18;linea_hora;lunes;08:00;09:00;2025-05-07;2025-06-06
"santiago centro";"av alameda 900";santiago;linea2_piscina2;piscina;1;220000;39;linea_hora;sabado;17:00;18:00;2024-10-26;2025-01-24
"santiago centro";"av alameda 900";santiago;linea3_piscina2;piscina;1;120000;;linea_hora;martes;13:00;14:00;2024-04-22;2024-04-29
"santiago centro";"av alameda 900";santiago;linea4_piscina2;piscina;1;10000;27;linea_hora;jueves;12:00;13:00;2024-05-09;2024-07-08
"santiago centro";"av alameda 900";santiago;linea5_piscina2;piscina;1;130000;;linea_hora;lunes;09:00;10:00;2025-04-22;2025-06-21
"santiago centro";"av alameda 900";santiago;linea6_piscina2;piscina;1;160000;78;linea_hora;viernes;13:00;14:00;2024-03-12;2024-04-11
"santiago centro";"av alameda 900";santiago;linea7_piscina2;piscina;1;190000;25;linea_hora;lunes;17:00;18:00;2025-04-04;2025-07-03
"santiago centro";"av alameda 900";santiago;linea8_piscina2;piscina;1;30000;;linea_hora;domingo;20:00;21:00;2024-10-19;2024-11-02
"santiago centro";"av alameda 900";santiago;saloneventos1;salon_eventos;36;180000;68;tramo;viernes;20:00;23:59;2025-11-21;2025-12-21
