sucursal_nombre;direccion_sucursal;comuna_nombre;lugar_nombre;tipo_lugar;capacidad_personas;precio;descuento_socio_evento;tipo_precio;dia_semana;hora_inicio;hora_termino;fecha_inicio_vigencia;fecha_fin_vigencia
Santiago Centro;Av Alameda 900;Santiago;mesa1_restaurant1;restaurant;4;;;mesa_hora;sabado;10:00;23:00;10-04-24;24-04-24
Santiago Centro;Av Alameda 900;Santiago;mesa2_restaurant1;restaurant;4;;;mesa_hora;jueves;10:00;23:00;18-10-24;01-11-24
Santiago Centro;Av Alameda 900;Santiago;mesa3_restaurant1;restaurant;4;nueve mil;;mesa_hora;miercoles;10:00;23:00;30-01-25;01-03-25
Santiago Centro;Av Alameda 900;Santiago;mesa4_restaurant1;restaurant;4;;;mesa_hora;jueves;10:00;23:00;2024-07;06-08-24
Santiago Centro;Av Alameda 900;Santiago;mesa5_restaurant1;restaurant;4;;;mesa_hora;martes;10:00;23:00;24-09-24;01-10-24
Santiago Centro;Av Alameda 900;Santiago;mesa6_restaurant1;restaurant;4;;;mesa_hora;lunes;10:00;23:00;25-04-25;24-07-25
Santiago Centro;Av Alameda 900;Santiago;mesa7_restaurant1;restaurant;4;;;mesa_hora;viernes;10:00;23:00;12-08-25;26-08-25
Santiago Centro;Av Alameda 900;Santiago;mesa8_restaurant1;restaurant;4;;;mesa_hora;miercoles;10:00;23:00;05-05-25;19-05-25
Santiago Centro;Av Alameda 900;Santiago;mesa1_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;11-01-24;10-04-24
Santiago Centro;Av Alameda 900;Santiago;mesa2_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;21-06-24;20-08-24
Santiago Centro;Av Alameda 900;Santiago;mesa3_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;20-09-24;19-11-24
Santiago Centro;Av Alameda 900;Santiago;mesa4_restaurant2;restaurant;4;;;mesa_hora;viernes;10:00;23:00;30-01-24;06-02-24
Santiago Centro;Av Alameda 900;Santiago;mesa5_restaurant2;restaurant;4;;;mesa_hora;sabado;10:00;23:00;09-06-25;23-06-25
Santiago Centro;Av Alameda 900;Santiago;mesa6_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;25-01-25;25-04-25
Santiago Centro;Av Alameda 900;Santiago;mesa7_restaurant2;restaurant;4;;;mesa_hora;miercoles;10:00;23:00;30-05-24;28-08-24
Santiago Centro;Av Alameda 900;Santiago;mesa8_restaurant2;restaurant;4;;;mesa_hora;martes;10:00;23:00;25-08-25;01-09-25
Santiago Centro;Av Alameda 900;Santiago;linea1_piscina1;piscina;1;30000;;linea_hora;jueves;20:00;21:00;19-11-25;26-11-25
Santiago Centro;Av Alameda 900;Santiago;linea2_piscina1;piscina;1;230000;21;linea_hora;martes;20:00;21:00;2024-11;19-12-24
Santiago Centro;Av Alameda 900;Santiago;linea3_piscina1;piscina;1;20000;71;linea_hora;martes;10:00;11:00;02-11-25;09-11-25
Santiago Centro;Av Alameda 900;Santiago;linea4_piscina1;piscina;1;20000;80;linea_hora;miercoles;12:00;13:00;05-01-25;05-04-25
Santiago Centro;Av Alameda 900;Santiago;linea5_piscina1;piscina;1;190000;79;linea_hora;viernes;12:00;13:00;29-09-25;13-10-25
Santiago Centro;Av Alameda 900;Santiago;linea6_piscina1;piscina;1;10000;52;linea_hora;domingo;11:00;12:00;16-08-24;14-11-24
Santiago Centro;Av Alameda 900;Santiago;linea7_piscina1;piscina;1;200000;;linea_hora;jueves;18:00;19:00;04-10-24;11-10-24
Santiago Centro;Av Alameda 900;Santiago;linea8_piscina1;piscina;1;40000;;linea_hora;martes;20:00;21:00;15-08-25;22-08-25
Santiago Centro;Av Alameda 900;Santiago;linea1_piscina2;piscina;1;10000;18;linea_hora;lunes;08:00;09:00;07-05-25;06-06-25
Santiago Centro;Av Alameda 900;Santiago;linea2_piscina2;piscina;1;220000;39;linea_hora;sabado;17:00;18:00;26-10-24;24-01-25
Santiago Centro;Av Alameda 900;Santiago;linea3_piscina2;piscina;1;120000;;linea_hora;martes;13:00;14:00;22-04-24;29-04-24
Santiago Centro;Av Alameda 900;Santiago;linea4_piscina2;piscina;1;10000;27;linea_hora;jueves;12:00;13:00;09-05-24;08-07-24
Santiago Centro;Av Alameda 900;Santiago;linea5_piscina2;piscina;1;130000;;linea_hora;lunes;09:00;10:00;22-04-25;21-06-25
Santiago Centro;Av Alameda 900;Santiago;linea6_piscina2;piscina;1;160000;78;linea_hora;viernes;13:00;14:00;12-03-24;11-04-24
Santiago Centro;Av Alameda 900;Santiago;linea7_piscina2;piscina;1;190000;25;linea_hora;lunes;17:00;18:00;04-04-25;03-07-25
Santiago Centro;Av Alameda 900;Santiago;linea8_piscina2;piscina;1;30000;;linea_hora;domingo;20:00;21:00;19-10-24;02-11-24
Santiago Centro;Av Alameda 900;Santiago;SalonEventos1;salon_eventos;36;180000;68;tramo;viernes;20:00;23:59;21-11-25;21-12-25
Santiago Centro;Av Alameda 900;Santiago;SalonEventos2;salon_eventos;140;40000;34;dia;domingo;00:00;23:59;02-08-24;31-10-24
Santiago Centro;Av Alameda 900;Santiago;SalonEventos3;salon_eventos;126;120000;1;tramo;miercoles;08:00;14:00;12-08-24;11-10-24
Santiago Centro;Av Alameda 900;Santiago;SalonEventos4;salon_eventos;155;240000;55;tramo;martes;08:00;14:00;19-09-24;18-12-24
Santiago Centro;Av Alameda 900;Santiago;Cabana1;cabana;4;60000;;dia;lunes;00:00;23:59;30-05-25;28-08-25
Santiago Centro;Av Alameda 900;Santiago;Cabana2;cabana;5;160000;;dia;miercoles;00:00;23:59;19-04-24;18-06-24
Santiago Centro;Av Alameda 900;Santiago;Cabana3;cabana;4;nueve mil;78;dia;jueves;00:00;23:59;2025-10;02-12-25
Santiago Centro;Av Alameda 900;Santiago;Cabana4;cabana;8;10000;80;dia;sabado;00:00;23:59;23-04-24;22-06-24
Santiago Centro;Av Alameda 900;Santiago;Cabana5;cabana;7;250000;80;dia;lunes;00:00;23:59;05-09-25;05-10-25
Santiago Centro;Av Alameda 900;Santiago;Cabana6;cabana;5;120000;1;dia;jueves;00:00;23:59;26-07-25;09-08-25
Santiago Centro;Av Alameda 900;Santiago;Cabana7;cabana;7;10000;49;dia;domingo;00:00;23:59;07-06-25;06-08-25
Santiago Centro;Av Alameda 900;Santiago;Cabana8;cabana;7;10000;24;dia;viernes;00:00;23:59;23-06-25;30-06-25
Santiago Centro;Av Alameda 900;Santiago;Cabana9;cabana;7;10000;20;dia;domingo;00:00;23:59;27-02-25;28-04-25
Santiago Centro;Av Alameda 900;Santiago;Cabana10;cabana;4;180000;25;dia;viernes;00:00;23:59;22-06-25;21-08-25
Santiago Centro;Av Alameda 900;Santiago;Cabana11;cabana;8;240000;;dia;viernes;00:00;23:59;09-03-24;08-04-24
Santiago Centro;Av Alameda 900;Santiago;Cabana12;cabana;5;80000;;dia;sabado;00:00;23:59;25-09-24;25-10-24
Santiago Centro;Av Alameda 900;Santiago;Cabana13;cabana;7;150000;;dia;domingo;00:00;23:59;28-08-25;27-09-25
Santiago Centro;Av Alameda 900;Santiago;Cabana14;cabana;4;160000;;dia;miercoles;00:00;23:59;10-07-24;09-08-24
Santiago Centro;Av Alameda 900;Santiago;Cabana15;cabana;7;250000;48;dia;domingo;00:00;23:59;04-07-25;11-07-25
Santiago Centro;Av Alameda 900;Santiago;Cabana16;cabana;4;160000;77;dia;sabado;00:00;23:59;05-02-24;05-04-24
Santiago Centro;Av Alameda 900;Santiago;Cabana17;cabana;6;230000;;dia;martes;00:00;23:59;12-10-24;26-10-24
Santiago Centro;Av Alameda 900;Santiago;Cabana18;cabana;5;240000;31;dia;sabado;00:00;23:59;03-09-24;02-12-24
Santiago Centro;Av Alameda 900;Santiago;Cabana19;cabana;7;nueve mil;21;dia;lunes;00:00;23:59;13-05-25;27-05-25
Santiago Centro;Av Alameda 900;Santiago;Cabana20;cabana;8;140000;71;dia;lunes;00:00;23:59;03-02-24;04-03-24
Santiago Centro;Av Alameda 900;Santiago;Cancha_tenis_aire_libre;cancha_aire_libre;11;200000;15;hora;miercoles;21:00;22:00;2025-04;04-05-25
Santiago Centro;Av Alameda 900;Santiago;Cancha_tenis_techada;cancha_techada;14;200000;39;hora;lunes;22:00;23:00;01-11-24;15-11-24
Santiago Centro;Av Alameda 900;Santiago;Cancha_basquetbol_aire_libre;cancha_aire_libre;15;100000;;hora;miercoles;22:00;23:00;29-08-25;12-09-25
Santiago Centro;Av Alameda 900;Santiago;Cancha_basquetbol_techada;cancha_techada;12;nueve mil;;hora;lunes;08:00;09:00;2024-04;17-06-24
Santiago Centro;Av Alameda 900;Santiago;Cancha_futbolito_aire_libre;cancha_aire_libre;22;200000;;hora;viernes;15:00;16:00;26-12-24;25-01-25
Santiago Centro;Av Alameda 900;Santiago;Cancha_futbolito_techada;cancha_techada;10;50000;27;hora;domingo;16:00;17:00;24-06-25;22-09-25
Santiago Centro;Av Alameda 900;Santiago;Cancha_padel_aire_libre;cancha_aire_libre;14;70000;6;hora;domingo;16:00;17:00;18-03-25;17-04-25
Santiago Centro;Av Alameda 900;Santiago;Cancha_padel_techada;cancha_techada;20;140000;3;hora;miercoles;13:00;14:00;18-11-25;18-12-25
Providencia;Av Pedro de Valdivia 2100;Providencia;mesa1_restaurant1;restaurant;4;;;mesa_hora;lunes;10:00;23:00;02-01-25;16-01-25
Providencia;Av Pedro de Valdivia 2100;Providencia;mesa2_restaurant1;restaurant;4;;;mesa_hora;sabado;10:00;23:00;07-07-24;06-08-24
Providencia;Av Pedro de Valdivia 2100;Providencia;mesa3_restaurant1;restaurant;4;;;mesa_hora;miercoles;10:00;23:00;2025-02;17-02-25
Providencia;Av Pedro de Valdivia 2100;Providencia;mesa4_restaurant1;restaurant;4;;;mesa_hora;sabado;10:00;23:00;15-03-25;29-03-25
